start_at,end_at,metric,system_id,reason,override_type
2015-08-01 09:05:00,2016-03-14 06:00:00,irr_cell_30,all,sensor_dead,reconstruct
2016-03-16 11:10:00,2016-03-17 16:40:00,irr_cell_30,all,sensor_dead,reconstruct
2020-11-01 00:00:00,2023-12-31 23:59:59,irr_cell_10,all,sensor_dead_permanent,nullify
2019-08-21 22:55:00,2019-08-21 22:55:00,irr_cell_30,all,visual_qa_spike,nullify
2019-08-21 23:00:00,2019-08-21 23:00:00,irr_cell_30,all,visual_qa_spike,nullify
2019-08-21 23:05:00,2019-08-21 23:05:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 20:15:00,2021-01-08 20:15:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 20:45:00,2021-01-08 20:45:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 21:40:00,2021-01-08 21:40:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 22:15:00,2021-01-08 22:15:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 22:20:00,2021-01-08 22:20:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 22:25:00,2021-01-08 22:25:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 22:30:00,2021-01-08 22:30:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 22:35:00,2021-01-08 22:35:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 22:55:00,2021-01-08 22:55:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 23:00:00,2021-01-08 23:00:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 23:05:00,2021-01-08 23:05:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 23:15:00,2021-01-08 23:15:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 23:20:00,2021-01-08 23:20:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 23:25:00,2021-01-08 23:25:00,irr_cell_30,all,visual_qa_spike,nullify
2021-01-08 23:30:00,2021-01-08 23:30:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 06:30:00,2021-10-30 06:30:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 06:35:00,2021-10-30 06:35:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 06:40:00,2021-10-30 06:40:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 06:55:00,2021-10-30 06:55:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 07:00:00,2021-10-30 07:00:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 07:05:00,2021-10-30 07:05:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 07:10:00,2021-10-30 07:10:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 07:15:00,2021-10-30 07:15:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 07:20:00,2021-10-30 07:20:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 07:40:00,2021-10-30 07:40:00,irr_cell_30,all,visual_qa_spike,nullify
2021-10-30 07:55:00,2021-10-30 07:55:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 06:30:00,2023-09-04 06:30:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 06:35:00,2023-09-04 06:35:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 06:50:00,2023-09-04 06:50:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 06:55:00,2023-09-04 06:55:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 07:00:00,2023-09-04 07:00:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 07:20:00,2023-09-04 07:20:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 07:25:00,2023-09-04 07:25:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 07:30:00,2023-09-04 07:30:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 07:50:00,2023-09-04 07:50:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 08:05:00,2023-09-04 08:05:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 08:10:00,2023-09-04 08:10:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 08:35:00,2023-09-04 08:35:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 08:40:00,2023-09-04 08:40:00,irr_cell_30,all,visual_qa_spike,nullify
2023-09-04 08:45:00,2023-09-04 08:45:00,irr_cell_30,all,visual_qa_spike,nullify
2023-10-19 22:20:00,2023-10-19 22:20:00,irr_cell_30,all,visual_qa_spike,nullify
2023-10-19 23:10:00,2023-10-19 23:10:00,irr_cell_30,all,visual_qa_spike,nullify
2023-10-19 23:25:00,2023-10-19 23:25:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 07:55:00,2023-11-16 07:55:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 08:25:00,2023-11-16 08:25:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 08:35:00,2023-11-16 08:35:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 08:40:00,2023-11-16 08:40:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 08:45:00,2023-11-16 08:45:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 08:50:00,2023-11-16 08:50:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 09:00:00,2023-11-16 09:00:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 09:05:00,2023-11-16 09:05:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 09:10:00,2023-11-16 09:10:00,irr_cell_30,all,visual_qa_spike,nullify
2023-11-16 09:15:00,2023-11-16 09:15:00,irr_cell_30,all,visual_qa_spike,nullify
2016-03-17 16:10:00,2016-03-17 16:10:00,temp_module,all_temp_sensors,visual_qa_spike,nullify
2016-03-17 16:30:00,2016-03-17 16:30:00,temp_module,all_temp_sensors,visual_qa_spike,nullify
2016-02-22 12:35:00,2016-02-22 12:35:00,temp_module,all_temp_sensors,visual_qa_spike,nullify
2016-03-08 11:20:00,2016-03-08 11:20:00,temp_module,all_temp_sensors,visual_qa_spike,nullify
2021-08-01 00:00:00,2023-12-31 23:59:59,temp_module,2,sensor_failed_T_M2,nullify
2015-06-01 00:00:00,2023-12-31 23:59:59,temp_module,10,sensor_unreliable_T_M3,nullify
2013-02-01 00:00:00,2016-03-29 23:59:59,temp_ambient,all,sensor_offset_plus5_6C,nullify
2016-03-08 00:00:00,2016-03-17 23:59:59,temp_module,8,sensor_failure_T_M5_mar2016,nullify
2017-10-23 00:00:00,2018-07-18 23:59:59,irr_cell_30,all,major_logging_blackout_2017_2018,nullify
2017-10-23 00:00:00,2018-07-18 23:59:59,irr_cell_10,all,major_logging_blackout_2017_2018,nullify
2017-10-23 00:00:00,2018-07-18 23:59:59,irr_cell_5,all,major_logging_blackout_2017_2018,nullify